"date","min","max","median"
"3/11/2024","5.04","30.25","14.32"
"3/12/2024","4.97","27.44","14.32"
"3/13/2024","3.27","40.69","7.46"
"3/14/2024","2.89","31.79","17.59"
"3/15/2024","1.83","25.39","7.47"
"3/16/2024","1.12","35.88","14.27"
"3/17/2024","0.59","32.5","12.57"
"3/18/2024","0.31","34.15","11.73"
"3/19/2024","1.23","32.28","3.99"
"3/20/2024","0.71","20.95","2.98"
"3/21/2024","1.55","46.96","5.38"
"3/22/2024","3.98","37.45","19.88"
"3/23/2024","1.64","31.02","14.29"
"3/24/2024","0.94","37.25","4.96"
"3/25/2024","0","35.13","4.65"
"3/26/2024","0","67.73","2.08"
"3/27/2024","0.48","39.72","4.49"
"3/28/2024","0.46","18.2","1.63"
"3/29/2024","0.64","37.79","2.89"
"3/30/2024","0.3","37.83","3.44"
"3/31/2024","0.31","15.81","4.34"
"4/1/2024","0.98","22.12","7.76"
"4/2/2024","0.81","12.91","3.59"
"4/3/2024","1.19","8.73","2.15"
"4/4/2024","0.76","12.18","3.24"
"4/5/2024","0.43","30.11","3.63"
"4/6/2024","0.24","34.52","10.58"
"4/7/2024","0.33","45.06","5.65"
"4/8/2024","2.48","31.29","6.58"
"4/9/2024","2.91","85.04","9.76"
"4/10/2024","5.34","54.52","11.49"
"4/11/2024","6.91","54.03","11.75"
"4/12/2024","0.32","23.25","4.43"
"4/13/2024","0.66","46","6.98"
"4/14/2024","0.2","18.78","7.2"
"4/15/2024","1.13","20.89","6.97"
"4/16/2024","1.96","19.11","9.53"
"4/17/2024","0.36","16.21","7"
"4/18/2024","0.07","16.29","0.63"
"4/19/2024","0.3","16.55","3.52"
"4/20/2024","0.13","43.84","3.49"
"4/21/2024","0","126.8","1.58"
"4/22/2024","0.21","28.89","1.43"
"4/23/2024","0.28","203.89","1.96"
"4/24/2024","0","149.71","14.75"
"4/25/2024","0.34","158.8","15.27"
"4/26/2024","0.73","126.64","20.13"
"4/27/2024","0.46","106.29","9.24"
"4/28/2024","0.25","167.6","33.65"
"4/29/2024","1.86","134.15","37.88"
"4/30/2024","2.52","175.14","37.92"
"5/1/2024","0.53","184.13","31.99"
"5/2/2024","0","155.72","28.5"
"5/3/2024","0","417","10.97"
"5/4/2024","0","180.29","5.16"
"5/5/2024","0","160.9","4.99"
"5/6/2024","0","181.68","3.17"
"5/7/2024","0","126.16","1.42"
"5/8/2024","0","92.93","2.56"
"5/9/2024","0.44","100.75","3.8"
