"date,""min"",""max"",""median"",""q1"",""q3"",""stdev"",""count"""
"7/1/2020,""4.09"",""81.2"",""9.18"",""7.05"",""12.36"",""5.102"",""433"""
"7/2/2020,""0.5"",""8.58"",""2.15"",""1.5"",""2.98"",""1.521"",""448"""
"7/3/2020,""2.02"",""25.2"",""5.09"",""3.88"",""6.1"",""1.907"",""461"""
"7/4/2020,""1.27"",""14.55"",""5.14"",""2.54"",""6.57"",""2.542"",""488"""
"7/5/2020,""2.8"",""15.98"",""6.8"",""4.84"",""9.1"",""2.789"",""467"""
"7/6/2020,""2.85"",""15.98"",""5.42"",""4.04"",""8.24"",""2.539"",""276"""
"7/7/2020,""1.5"",""26.8"",""7.3"",""3.49"",""11.24"",""5.922"",""409"""
"7/8/2020,""0.15"",""16.87"",""3.12"",""2.27"",""4.53"",""3.01"",""435"""
"7/9/2020,""0.3"",""4.75"",""1.14"",""0.9"",""1.72"",""0.848"",""466"""
"7/10/2020,""0.6"",""7.7"",""1.6"",""1.12"",""2.21"",""1.12"",""424"""
"7/11/2020,""0.78"",""9.08"",""2.47"",""1.87"",""3.04"",""1.444"",""336"""
"7/12/2020,""0.93"",""12.9"",""3.75"",""2.49"",""6.49"",""2.608"",""373"""
"7/13/2020,""1.75"",""12.78"",""4.47"",""3.33"",""6.62"",""2.33"",""387"""
"7/14/2020,""0.28"",""23.4"",""3.66"",""1.37"",""5.97"",""4.499"",""438"""
"7/15/2020,""0.72"",""6.03"",""1.87"",""1.27"",""3.1"",""1.109"",""354"""
"7/16/2020,""0.98"",""35.17"",""3.62"",""2.5"",""4.59"",""2.772"",""322"""
"7/17/2020,""1.72"",""16.23"",""4.83"",""3.52"",""6.58"",""2.767"",""455"""
"7/18/2020,""0.6"",""17.42"",""5.04"",""1.8"",""8.07"",""3.89"",""448"""
"7/19/2020,""0.78"",""21.85"",""2.98"",""2.36"",""6.58"",""3.32"",""156"""
"7/20/2020,""1.12"",""136.62"",""7.8"",""2.35"",""16.66"",""18.471"",""164"""
"7/21/2020,""0.8"",""21.82"",""4"",""1.82"",""8.18"",""4.326"",""263"""
"7/22/2020,""1.47"",""31.12"",""2.33"",""2"",""2.99"",""2.813"",""269"""
"7/23/2020,""0.25"",""16.3"",""1.51"",""0.82"",""2.6"",""1.612"",""298"""
"7/24/2020,""0.4"",""26"",""1.42"",""0.9"",""3.22"",""2.111"",""382"""
"7/25/2020,""3.42"",""16.45"",""5.32"",""4.42"",""11.95"",""3.992"",""82"""
